Locus,logFC_proto,logCPM_proto,F_proto,PValue_proto,p_adj_proto,logFC_treat,logCPM_treat,F_treat,PValue_treat,p_adj_treat,de_type_treat,de_type_proto
AT1G22050,-0.2881376135072963,2.0557801207619284,0.33621470509131085,0.5731084805582545,0.6688328950319947,-1.0902145356301753,2.0557801207619284,7.853032332941506,0.01643204288906113,0.04707718045129313,Not DE,Not DE
AT1G22060,-0.820354798515042,4.916079061342664,14.025786865178176,0.0029573298446374,0.01030995648848399,-0.45624449198578637,4.916079061342664,6.949418389464139,0.022257659990491643,0.05899625419242458,Not DE,Proto Down
AT1G22070,-0.20504514120554565,4.4655892837731574,0.5862026066890892,0.4591817367827893,0.5660073445496457,1.4127168704974746,4.4655892837731574,41.382895525356744,3.789552225712767e-5,6.589029484868625e-4,Not DE,Not DE
AT1G22140,-0.33045110251614557,5.069648803604273,2.1151813395355603,0.17235364379105203,0.26522823699158127,-0.5114448488104912,5.069648803604273,7.4577601891787495,0.018724617000889645,0.051791420986004325,Not DE,Not DE
AT1G22160,-0.44684616905616936,4.518313098790558,1.3134942783727244,0.27484771228377886,0.3815381613028102,-0.517221007142729,4.518313098790558,2.709466176348765,0.12654658824639387,0.22303043695714786,Not DE,Not DE
AT1G22180,1.7832462840042318,3.206604375561438,33.92453286746379,9.316795071344509e-5,5.864967084653699e-4,1.7134193053569562,3.206604375561438,33.197348294332315,1.0252506803214734e-4,0.001258844727371991,Not DE,Proto Up
AT1G22190,2.2929928848511625,4.750458330094968,157.02221292787084,4.2622245913598836e-8,1.0552319377005068e-6,-0.984583778493512,4.750458330094968,30.164201051947344,1.5561364886644829e-4,0.0016847395285891173,Not DE,Proto Up
AT1G22200,0.8289757563105533,4.249926441591678,15.25023869454216,0.0022232351621434767,0.008156895051599411,0.5187595148262313,4.249926441591678,7.577111434508669,0.017994456341495952,0.050268170097471705,Not DE,Proto Up
AT1G22270,-0.5642650620236755,4.444196129709721,5.429895825470597,0.03872848216570304,0.08110836906002906,-0.046907784042440726,4.444196129709721,0.059766823515394606,0.8111340294758431,0.8750552320554186,Not DE,Not DE
AT1G22280,3.092473519154799,7.5058301957244975,125.90622841143818,1.4019529938746582e-7,2.6279235363496845e-6,0.9969491816677006,7.5058301957244975,13.981803630060037,0.0029886140168113116,0.01317257561800726,Not DE,Proto Up
AT1G22300,-0.4923021185403463,6.596370780537105,4.664830346491023,0.052474514260377685,0.10299493670906101,0.3300825936047249,6.596370780537105,3.025249441260286,0.10840492874526687,0.19795284369020424,Not DE,Not DE
AT1G22310,1.3815896678007655,2.709922000602378,17.91371998495892,0.0012510331586598634,0.005073530989878815,-0.5641538599584022,2.709922000602378,3.544584653901148,0.08504304679920857,0.1649078539843133,Not DE,Proto Up
AT1G22330,-0.21688623298193224,3.324075344883332,0.2462114753526602,0.6290203411779904,0.7172515491087116,-2.186827938107802,3.324075344883332,36.87548427210327,6.41711794051034e-5,9.227352004382121e-4,DC3000 Down,Not DE
AT1G22360,1.2066074540233267,5.151963701533822,6.265677619374831,0.028348111916310353,0.06336957129570367,-0.5888170765746024,5.151963701533822,1.8209771847606757,0.20293650833293542,0.32051327018904036,Not DE,Not DE
AT1G22370,-0.7543073920870728,2.3930378349726826,0.9106493311205065,0.35939913059027717,0.46746609186922805,-0.5284685830981175,2.3930378349726826,0.8113728802509091,0.3860277059149815,0.5162595636977125,Not DE,Not DE
AT1G22400,5.608592417863466,9.08001128505671,207.97529231132958,9.145588100059362e-9,3.1513738311981317e-7,0.9195578258017211,9.08001128505671,6.169771489972926,0.029353431390858914,0.0730551754935049,Not DE,Proto Up
AT1G22410,0.5974160871184472,6.621829335003572,11.42226577722912,0.005719978642944276,0.01761949895479313,0.4524833237345376,6.621829335003572,8.262492650635606,0.014399994838876207,0.04263627362060685,Not DE,Proto Up
AT1G22430,0.10512264377455438,5.126158694128084,0.1680143256556503,0.6893483145369554,0.7669735182406976,-1.6026031723450798,5.126158694128084,52.4894110268664,1.2317876516743526e-5,3.4002284319120316e-4,Not DE,Not DE
